2026-04-23 18:16:09,552 INFO Loaded kubeconfig context=current
2026-04-23 18:16:09,862 INFO SCHEDULED job=parsec-canneal deps=[]
2026-04-23 18:16:09,913 INFO SCHEDULED job=parsec-radix deps=[]
2026-04-23 18:16:26,922 INFO FINISHED job=parsec-radix status=Succeeded
2026-04-23 18:16:27,008 INFO SCHEDULED job=parsec-streamcluster deps=['parsec-radix']
2026-04-23 18:17:32,131 INFO FINISHED job=parsec-canneal status=Succeeded
2026-04-23 18:17:32,180 INFO SCHEDULED job=parsec-freqmine deps=['parsec-canneal']
2026-04-23 18:18:50,486 INFO FINISHED job=parsec-streamcluster status=Succeeded
2026-04-23 18:18:50,570 INFO SCHEDULED job=parsec-barnes deps=['parsec-radix', 'parsec-streamcluster']
2026-04-23 18:19:29,603 INFO FINISHED job=parsec-barnes status=Succeeded
2026-04-23 18:19:29,652 INFO SCHEDULED job=parsec-blackscholes deps=['parsec-radix', 'parsec-streamcluster', 'parsec-barnes']
2026-04-23 18:19:46,509 INFO FINISHED job=parsec-freqmine status=Succeeded
2026-04-23 18:19:46,562 INFO SCHEDULED job=parsec-vips deps=['parsec-canneal', 'parsec-freqmine']
2026-04-23 18:20:24,780 INFO FINISHED job=parsec-blackscholes status=Succeeded
2026-04-23 18:20:45,622 INFO FINISHED job=parsec-vips status=Succeeded
2026-04-23 18:20:45,623 INFO All jobs finished successfully: ['parsec-barnes', 'parsec-blackscholes', 'parsec-canneal', 'parsec-freqmine', 'parsec-radix', 'parsec-streamcluster', 'parsec-vips']
2026-04-23 18:20:45,623 INFO Scheduler finished in 276.07 seconds

Job:  parsec-barnes
Job time:  0:00:36
Job:  parsec-blackscholes
Job time:  0:00:50
Job:  parsec-canneal
Job time:  0:01:19
Job:  parsec-freqmine
Job time:  0:02:12
Job:  parsec-radix
Job time:  0:00:14
Job:  parsec-streamcluster
Job time:  0:02:21
Job:  parsec-vips
Job time:  0:00:53
Job:  memcached
Total time: 0:04:30

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      259.1   103.4    86.8   151.8   166.9   250.0   285.2   304.2   317.7   335.0   357.0   392.4   474.5   814.5  3775.1  29847.9    30000  1776960944227  1776960954357
read      249.4   105.2    93.8   150.8   164.4   238.8   272.7   291.2   304.6   319.8   341.5   374.0   453.0   716.7  3999.1  30123.3    30005  1776960955871  1776960965993
read      240.2   122.9    93.8   143.7   156.0   224.7   258.4   277.1   291.3   308.0   329.9   366.0   471.7  1834.8  4185.8  29987.7    30010  1776960967507  1776960977609
read      263.2   143.5    93.8   158.2   172.3   244.7   279.0   298.6   314.1   333.3   359.5   403.9   598.7  1833.7  5980.9  30010.7    30015  1776960979123  1776960989227
read      237.2   158.7    93.8   141.9   153.5   218.8   251.5   270.4   284.5   300.9   322.6   360.0   464.3  2737.1  6197.4  29997.3    30020  1776960990742  1776961000845
read      235.4   138.1    86.8   141.0   152.3   217.6   251.8   271.4   286.0   303.0   325.3   362.2   456.0  2405.6  4507.3  30062.4    30025  1776961002357  1776961012460
read      245.7   142.5    93.8   145.6   158.0   229.1   263.8   283.0   296.6   314.1   337.0   371.9   476.3  2366.4  4992.8  30019.7    30030  1776961013974  1776961024079
read      245.0   161.5    93.8   145.0   157.0   226.0   259.8   278.4   292.4   309.6   332.0   367.5   502.0  2649.1  5093.2  29942.4    30035  1776961025595  1776961035696
read      247.8   158.6    93.8   144.6   156.9   229.0   263.9   283.4   297.1   315.1   339.2   377.0   516.3  2590.5  5064.3  30011.3    30040  1776961037211  1776961047314
read      242.9   149.9    93.8   143.9   155.5   223.0   257.7   277.1   291.9   309.8   333.6   371.0   502.3  2513.1  4395.4  30121.7    30045  1776961048827  1776961058935
read      247.5   150.0    93.8   144.5   157.0   228.9   265.2   285.6   300.2   318.1   342.2   380.9   503.7  2405.2  4958.5  30079.9    30050  1776961060449  1776961070556
read      247.0   133.5    93.8   145.7   158.1   230.6   266.0   285.8   299.9   317.3   341.3   377.9   493.9  2007.6  4677.2  30021.5    30055  1776961072068  1776961082173
read      246.1   150.9    93.8   144.5   156.5   226.9   263.3   283.6   298.0   316.3   340.5   378.1   500.5  2475.2  5400.4  30016.3    30060  1776961083686  1776961093794
read      242.1   155.7    93.8   143.5   155.4   223.8   258.3   277.3   291.7   309.3   332.4   368.8   481.5  2730.2  6015.1  30096.5    30065  1776961095306  1776961105413
read      241.1   135.3    86.8   143.7   155.5   224.3   258.4   277.3   291.5   308.6   330.9   367.2   471.7  2188.3  4256.4  30059.4    30070  1776961106928  1776961117031
read      249.8   169.5    93.8   145.3   157.6   229.8   265.9   286.0   300.2   318.0   342.9   383.3   532.3  2541.6  6439.7  30164.3    30075  1776961118545  1776961128649
